Location,Latitude,Longitude,Elevation (m),Land Use Type,Flood Severity (1-10),Population Density (people/sq.km),Vulnerable Population (%),Rainfall (mm),Water Level Rise (m),Flood Duration (days),Infrastructure Damage (Million $),Economic Loss (Million $),Mortality Rate (%),Roads Affected (%),Power Outage Duration (Hours),Evacuation Time (Hours),Medical Aid Delay (Hours),Disease Outbreak Risk (1-10),Psychological Distress Level (1-10),Response Time (Hours),Resource Wastage (%),Food Supply (Tons),Water Supply (Liters),Evacuation Boats,Medical Aid Kits,Relief Camps Set Up,Hospital Functionality (%),Emergency Shelters Capacity
Location_1,19.01834424,72.8266456,26,Residential,5,12164,34.26,1487,1.77,8,23.04,403.94,2.86,67.99,4,26,3,5,1,39,12.61,3445,933469,46,86,80,64.67,1143
Location_2,19.04901081,72.88686066,46,Slum,9,20177,58.69,1302,1.48,6,285.37,585.58,2.07,47.64,48,43,17,4,3,8,26.24,266,218072,42,963,39,51.67,3142
Location_3,19.08324478,72.77074501,15,Industrial,8,24841,10.41,2849,2.85,6,114.99,708.37,3.26,20.71,17,27,10,1,9,45,11.42,3366,258029,12,742,45,90.79,914
Location_4,19.07116647,72.88938345,5,Commercial,5,29794,54.94,1026,1.2,9,177.03,641.41,2.8,45.39,36,36,17,4,9,24,18.41,1409,219047,1,914,78,72.52,5722
Location_5,18.99285635,72.77061531,32,Slum,9,26509,56.56,2165,3.5,4,394.63,984.95,1.33,38.92,70,32,22,4,7,28,4.42,3824,985491,17,803,81,66.26,7432
Location_6,18.90108485,72.97062415,43,Residential,5,7703,58.05,1638,3.22,8,104.1,155.5,2.05,71.38,38,1,17,4,3,43,2.63,4977,375169,41,549,12,73.56,409
Location_7,19.11993862,72.91460241,17,Residential,8,29109,10.65,959,0.89,4,322.79,441.14,2.2,18.82,62,16,21,1,3,27,12.95,4327,140509,28,370,93,90.94,6761
Location_8,19.04038304,72.93127675,15,Commercial,7,12649,18.59,1431,0.66,2,330.74,436.33,4.41,71.26,48,11,4,9,4,1,17.79,4479,772072,7,86,32,56.23,4327
Location_9,19.00349542,72.911944,11,Slum,7,24554,42.69,2486,3.29,8,477.51,428.71,4.81,45.85,10,26,21,3,7,34,12.39,4656,305107,9,518,56,92.88,1977
Location_10,19.2194376,72.88563768,19,Commercial,9,29676,11.27,824,1.82,7,389.83,670.52,4.48,38.31,36,40,23,4,7,17,17.75,4528,537561,22,173,24,94.88,2586
Location_11,19.17376246,72.85347994,44,Commercial,6,29309,13.18,1078,0.89,4,403.78,500.03,3.62,21.34,29,1,6,5,2,37,15.94,1946,549618,26,18,13,97.34,6986
Location_12,19.21595091,72.94742588,39,Industrial,8,25028,21.05,2037,3.92,9,270.48,527.08,2.97,59.06,4,26,12,7,5,38,20.89,4477,162566,12,184,20,69.87,4935
Location_13,19.07809346,72.9700722,28,Industrial,9,25804,35.62,2500,1.91,9,101.52,443.71,3.48,74.88,44,28,22,6,7,26,19.84,949,610710,7,471,79,60.86,894
Location_14,18.93975388,72.86477832,29,Residential,9,14672,37.3,2881,2.57,8,218.53,991.87,4.7,36.28,56,9,20,5,7,24,13.3,691,918521,46,316,56,68.68,6886
Location_15,19.15456415,72.96425306,25,Slum,7,6155,11.71,2831,1.57,1,279.25,929.01,1.32,26.91,42,44,17,8,6,39,13.32,4779,13212,47,597,53,66.65,4114
Location_16,18.96830804,72.88416657,21,Industrial,5,26795,18.52,974,3.32,7,342.43,321.57,2.72,48.84,13,22,17,1,8,21,5.08,3677,242131,15,254,68,58.81,7492
Location_17,19.05766727,72.87382836,32,Residential,8,29394,34.99,1577,1.86,5,307.78,129.36,3.48,65.73,46,8,10,7,3,30,15.88,245,486657,38,131,54,80.36,5453
Location_18,18.9147003,72.85453103,38,Slum,5,28482,39.7,1981,4.86,7,203.05,842.97,3.43,10.26,33,42,7,6,1,47,18.03,1943,621882,21,194,34,73.83,3507
Location_19,19.20361719,72.79813619,46,Residential,10,4611,17.42,2102,3.66,9,140,997.23,1.34,54.2,21,27,16,5,3,13,14.82,3325,142152,14,41,28,93.29,1074
Location_20,18.93785744,72.75085552,28,Industrial,10,24075,29.94,1943,1.12,2,92.43,306.76,2.97,51.76,57,39,13,7,2,37,10.45,4100,304819,2,972,50,51.61,9339
Location_21,19.23317705,72.80554643,21,Residential,8,20977,55.22,1131,2.38,4,349.98,370.63,4,32.27,69,19,3,3,2,3,21.93,4603,32007,8,771,2,82.19,4337
Location_22,19.21840763,72.86723633,44,Slum,6,18479,59.94,1202,2.23,4,326.25,942.8,2.43,41.6,70,25,2,1,2,32,3.17,4975,648093,45,578,94,88.15,7348
Location_23,19.06654145,72.83739079,12,Slum,10,11180,59.36,2956,2.9,2,346.81,716.91,3.99,27.29,67,38,16,9,5,35,27.52,2354,354785,6,319,26,87.97,4469
Location_24,19.17285992,72.8531516,8,Residential,7,11304,54.08,1481,4.29,3,192.54,309.73,1.86,65.29,48,21,6,2,1,19,1.6,3650,630103,37,381,51,94.3,8150
Location_25,19.12538913,72.97554909,23,Slum,6,24425,29.73,1827,3.13,8,138.58,589.43,4.7,54.42,33,24,6,3,4,14,28.91,3393,843247,37,665,47,86.45,564
