Location,Latitude,Longitude,Elevation (m),Land Use Type,Flood Severity (1-10),Population Density (people/sq.km),Vulnerable Population (%),Rainfall (mm),Water Level Rise (m),Flood Duration (days),Infrastructure Damage (Million $),Economic Loss (Million $),Mortality Rate (%),Roads Affected (%),Power Outage Duration (Hours),Evacuation Time (Hours),Medical Aid Delay (Hours),Disease Outbreak Risk (1-10),Psychological Distress Level (1-10),Response Time (Hours),Resource Wastage (%),Food Supply (Tons),Water Supply (Liters),Evacuation Boats,Medical Aid Kits,Relief Camps Set Up,Hospital Functionality (%),Emergency Shelters Capacity
TN_Location_1,11.07980281,79.55083292,34,Urban,10,5511,10.78,2110,1.93,13,347.78,666.4,0.9,73.23,82,18,6,5,3,32,25.2,5026,1704861,39,498,20,54.5,4283
TN_Location_2,11.24860375,79.25803956,45,Slum,8,14035,13.22,1093,1.09,7,337.13,859.45,4.19,36.48,75,45,9,5,5,55,17.66,4491,1372051,43,183,33,81.5,4068
TN_Location_3,13.34626931,76.83683451,20,Urban,7,959,14.98,1382,3.15,4,230.24,94.13,1.87,52.28,97,65,33,9,8,54,31.17,1297,319037,43,343,123,43.91,1804
TN_Location_4,9.988130838,80.09286502,35,Agricultural,10,10944,30.95,2382,3.41,8,347.78,473.57,2.12,44.13,19,17,19,4,7,48,14.98,1838,235985,37,570,39,97.79,7093
TN_Location_5,10.16773284,79.72541671,58,Coastal,10,15593,50.74,969,3.58,11,44.16,989.47,4.49,46.99,61,46,19,6,7,22,8.98,1858,58243,12,850,47,60.94,2750
TN_Location_6,9.109897697,76.73638829,32,Agricultural,10,10723,54.41,848,2.62,5,431.33,774.21,2.58,44.84,33,11,17,7,7,28,29.35,1325,1628399,36,659,100,89.91,11536
TN_Location_7,8.387938624,79.92026649,8,Slum,9,6738,22.24,2103,3.51,12,391.13,962.83,2.81,70.45,66,67,22,9,4,17,25.22,463,1544995,59,653,123,59.11,2333
TN_Location_8,12.25042471,77.22511391,14,Slum,7,12154,38.72,1510,0.55,6,130.16,784.04,4.79,49.87,50,46,11,6,4,9,12.25,3192,1942402,37,778,57,77.97,8302
TN_Location_9,9.373245854,76.36391386,55,Agricultural,8,10724,48.42,727,0.88,12,386.34,877.38,4.46,53.8,25,22,5,6,5,9,21.09,5215,720849,12,227,24,99.02,10191
TN_Location_10,11.34897674,78.95570038,49,Urban,7,1380,24.44,1872,0.82,13,16.19,712.4,1.01,79.03,72,35,9,4,6,52,17.06,360,381358,50,334,119,92.6,6319
