Location,Latitude,Longitude,Elevation (m),Land Use Type,Flood Severity (1-10),Population Density (people/sq.km),Vulnerable Population (%),Rainfall (mm),Water Level Rise (m),Flood Duration (days),Infrastructure Damage (Million $),Economic Loss (Million $),Mortality Rate (%),Roads Affected (%),Power Outage Duration (Hours),Evacuation Time (Hours),Medical Aid Delay (Hours),Disease Outbreak Risk (1-10),Psychological Distress Level (1-10),Response Time (Hours),Resource Wastage (%),Food Supply (Tons),Water Supply (Liters),Evacuation Boats,Medical Aid Kits,Relief Camps Set Up,Hospital Functionality (%),Emergency Shelters Capacity
Location_1,21.81785996,89.04998634,10,Rural,7,23095,48.36,2888,3.49,5,9.53,424.16,1.53,62.49,92,61,12,6,5,10,4.9,2479,1485355,18,778,29,96.66,13908
Location_2,22.95523672,89.60591535,12,Residential,10,10455,20.71,1811,1.03,11,130.8,190.86,0.23,61.24,33,52,6,7,8,54,24.54,5761,1858720,40,1291,141,71.04,1888
Location_3,21.87170585,89.58942476,11,Commercial,6,19054,60.98,2926,1.55,5,183.83,106.08,3.98,58.02,22,22,25,9,7,62,21.16,5088,1424787,31,862,107,44.46,5295
Location_4,23.11364741,89.80957939,21,Commercial,9,14496,59.8,1516,3.87,3,169.54,297.08,1.37,74.45,69,7,19,7,6,55,21.62,5526,327633,28,729,61,88.99,14609
Location_5,23.58824234,89.09955167,1,Commercial,8,19905,44.35,2607,1.12,4,197.14,211.79,5.36,48.62,45,66,21,8,8,38,11.6,260,52664,44,1044,41,92.11,7783
Location_6,24.27965394,88.59091541,20,Agricultural,6,24720,22.76,3391,2.98,2,50.45,410.29,5.18,75.93,84,59,29,8,9,66,10.79,1525,1834735,33,400,20,78.37,8024
Location_7,23.77098108,87.72742107,2,Agricultural,7,1685,16.41,2273,2.52,2,195.73,773.46,0.65,40.16,67,7,14,6,9,43,27.16,3761,163492,57,528,41,66.85,1837
Location_8,21.6729832,89.11282804,22,Rural,8,3785,58.82,3321,4.57,8,58.88,464.21,0.82,79.87,91,66,6,3,8,50,10.47,377,992114,49,825,80,79.73,14870
Location_9,22.50141926,88.04935473,3,Commercial,6,3947,48.01,1965,1.28,6,226.4,713.05,3.07,63.91,15,35,31,9,6,5,16.73,3491,811747,26,495,30,82.4,6166
Location_10,22.43488684,88.02717525,16,Commercial,5,20875,54.1,3141,3.44,4,105.03,524.19,3.73,33,16,57,2,5,9,65,24.93,1656,1532709,12,973,24,93.58,13120
Location_11,24.57941089,87.91239959,27,Commercial,7,11162,31.71,1409,3.9,8,214.42,385.44,1.79,54.49,21,4,23,8,9,52,4.63,4692,1930041,19,868,141,97.35,4870
Location_12,24.41781459,89.54906369,27,Commercial,6,5399,43.02,2983,4.09,3,19.12,685.14,4.36,52.31,35,43,19,9,3,61,21.62,5591,245648,53,916,107,70.86,14831
Location_13,22.71590588,89.53066863,21,Commercial,10,16560,56.09,3331,3.03,4,125.32,382.38,3.65,24.65,37,63,6,8,4,32,21.45,2015,1710726,9,51,33,87.91,12474
Location_14,21.69335098,88.92159404,5,Residential,5,2435,40.44,2612,2.52,2,212.99,696.22,2.08,56.39,84,7,32,8,9,59,24.58,4850,511127,56,137,35,97.87,5403
Location_15,24.50784703,88.51556112,6,Commercial,7,9945,48.08,2135,4.41,9,71.93,240.35,0.35,37.03,10,7,7,4,2,5,14.21,3207,623318,8,1227,23,49.07,5334
Location_16,24.48760964,89.02733416,14,Residential,9,9774,58.44,1354,5.24,3,239.61,111.76,4.55,18.66,72,64,28,6,3,23,16.82,402,83910,15,210,31,41.1,2090
Location_17,24.37323177,88.86057969,10,Commercial,7,10835,26.84,2455,4.47,8,191.08,685.7,1.45,81.41,31,21,26,6,4,4,12.89,4633,772648,22,93,98,92.14,3405
Location_18,24.3401792,88.36843702,23,Agricultural,10,18169,18.63,2555,5.66,12,178.33,474.06,5.04,59.9,78,22,30,8,2,48,28.67,2873,998476,46,642,89,51.72,8869
Location_19,23.09246868,88.27565133,2,Agricultural,9,9045,44.25,845,4.59,10,109.3,712.38,2.64,76.38,92,3,29,4,5,39,6.31,4381,1976083,53,1146,48,42.55,2566
Location_20,22.05681625,88.28378137,29,Residential,9,7979,18.42,2059,4.82,7,147.32,750.88,3.55,62.32,64,57,17,8,8,34,33.78,3345,1814829,34,890,117,49.61,7759
Location_21,23.08300913,88.81407285,5,Commercial,9,5755,57.16,1871,1.84,3,181.22,52.37,5.26,39.99,36,11,13,5,8,49,22.95,5785,1386639,19,605,78,63.05,2726
Location_22,23.14152438,88.96451025,25,Agricultural,8,18769,54.56,3045,3.1,3,144.38,405.77,5.21,50.89,14,71,21,4,6,66,31.27,4868,756648,10,439,91,53.16,8007
Location_23,23.1255666,88.46097631,1,Agricultural,8,5562,63.49,2931,3.43,10,211,306.22,2.35,62.3,80,24,19,8,4,27,16.07,5469,1564718,59,492,147,58.32,14903
Location_24,23.29260224,89.78953703,28,Commercial,9,7566,50.18,1342,2.28,11,132.94,504.43,1.41,82.22,47,31,35,7,2,9,12.97,1100,417348,57,133,98,98.52,566
Location_25,22.33118702,87.5154835,13,Commercial,5,11212,18.7,2251,3.64,9,64.67,636.94,4.7,32.76,57,38,24,3,9,51,31.72,3934,409297,20,1422,102,82.26,10228
Location_26,22.70254484,88.19191086,8,Agricultural,9,16491,28.92,2918,2.45,10,68.11,231.67,2.71,76.25,10,56,28,7,3,39,5.26,4106,1110174,51,1356,145,82.73,6721
Location_27,22.93491814,88.37702194,17,Commercial,6,3522,59.44,3367,4.44,5,6.71,449.87,1.31,79.69,88,50,18,3,2,11,5.86,6522,1555604,44,349,136,45.68,10107
Location_28,21.89843454,87.34348785,18,Rural,9,22149,24.19,2792,3.35,5,93.78,569.9,5.45,61.93,37,35,22,4,3,43,11.88,4878,518515,13,358,60,83.93,6806
Location_29,23.00734534,88.23793997,11,Commercial,8,2047,53.42,1712,3.29,3,225.93,116.2,1.35,80.19,4,45,32,7,8,38,33.67,1818,958055,47,257,101,84.36,14105
Location_30,24.22180609,88.00343449,12,Agricultural,8,12710,57.91,1868,5.92,11,239.28,653.11,0.35,42.85,20,23,4,5,6,27,22.89,3930,1923214,38,1216,102,79.58,212
Location_31,24.28196364,88.60051321,25,Agricultural,6,4704,33.16,3140,2.96,2,64.73,488.83,0.32,81.71,29,32,18,9,9,13,20.29,5120,357044,31,98,38,53.71,8927
Location_32,22.8575481,88.16457511,11,Residential,6,8090,32.73,1611,2.81,11,287.92,760.13,3.81,64.19,24,8,27,7,6,50,25.28,3281,46296,17,483,104,65.38,3439
Location_33,23.22432443,89.16628809,11,Rural,7,1868,45.68,2288,2.59,14,153.21,278.23,4.04,17.94,8,22,24,6,2,15,15.78,6623,1217714,40,624,149,90.78,2517
Location_34,21.56508414,88.61052651,17,Agricultural,5,12029,62.37,2708,5.47,5,275.51,95.44,2,78.48,77,17,7,9,2,47,27.02,2982,1228540,31,581,18,80.21,4242
Location_35,23.75655934,87.63348894,8,Rural,5,18641,27.31,2373,3.48,11,213.5,410.14,2.06,48.91,15,21,29,9,3,36,14.98,1098,619865,13,304,116,83.97,7685
Location_36,22.83375212,89.2276576,16,Commercial,5,16445,66.77,1666,4,11,218.12,77.79,2.17,47.22,47,44,9,3,3,30,29.27,384,749950,9,242,79,75.24,575
Location_37,22.97353368,87.55501826,20,Agricultural,10,10209,47.95,3227,1.9,12,30.09,775.93,4.14,54.65,16,45,9,3,4,13,10.82,520,1670037,55,612,101,66.98,10116
Location_38,24.43796073,89.45635636,15,Residential,8,14144,69.57,2566,3.7,9,69.9,40.56,0.54,25.46,68,48,20,8,8,45,11.16,2260,489509,26,1309,125,85.54,456
Location_39,23.02947377,89.69375504,16,Agricultural,5,5417,19.93,3109,2.37,3,7.6,605.27,5.59,47.84,16,20,30,5,4,67,19.24,3165,1133347,35,392,59,44.08,10656
Location_40,21.52247748,88.1286844,20,Residential,7,20368,21.96,1379,4.65,14,216.26,424.83,1.49,73.18,52,49,24,3,4,3,16.22,2375,520010,7,1276,121,80.39,649
Location_41,22.22801885,89.68018657,23,Rural,7,12377,60.47,3204,5.16,13,106.61,301.21,6,16.08,89,70,33,3,2,60,23.39,1594,964988,34,930,97,99.83,9285
Location_42,23.0766225,89.33803097,7,Residential,5,13724,62.56,2242,4.57,12,237.06,62.02,1.19,34.1,9,12,11,8,7,18,14.02,3984,1932873,25,847,41,86.81,3412
Location_43,22.90143532,89.67065952,10,Commercial,6,3552,39.5,1497,4.65,9,104.99,501.51,4.67,15.17,70,30,28,5,7,11,9.61,4723,119074,39,255,30,57.43,9576
